main conditions: 
    jump: 10, alpha: 1, vtol: 1.0e-9
  viteration 2 elapsed time: 0.06646418571472168 seconds
  viteration 3 elapsed time: 0.032257080078125 seconds
  viteration 4 elapsed time: 0.06792998313903809 seconds
  viteration 5 elapsed time: 0.031926870346069336 seconds
viter total elapsed time: 0.23148488998413086 seconds
piteration 3 elapsed time: 0.3479290008544922 seconds
  viteration 1 elapsed time: 0.06713509559631348 seconds
  viteration 2 elapsed time: 0.03186202049255371 seconds
  viteration 3 elapsed time: 0.070281982421875 seconds
  viteration 4 elapsed time: 0.03151988983154297 seconds
  viteration 5 elapsed time: 0.03228282928466797 seconds
viter total elapsed time: 0.2336721420288086 seconds
piteration 4 elapsed time: 0.34876298904418945 seconds
  viteration 1 elapsed time: 0.06719517707824707 seconds
  viteration 2 elapsed time: 0.03223299980163574 seconds
  viteration 3 elapsed time: 0.0676279067993164 seconds
  viteration 4 elapsed time: 0.031991004943847656 seconds
  viteration 5 elapsed time: 0.06998586654663086 seconds
viter total elapsed time: 0.2696690559387207 seconds
piteration 5 elapsed time: 0.34918808937072754 seconds
  viteration 1 elapsed time: 0.031722068786621094 seconds
  viteration 2 elapsed time: 0.06889510154724121 seconds
  viteration 3 elapsed time: 0.03156399726867676 seconds
  viteration 4 elapsed time: 0.03239107131958008 seconds
  viteration 5 elapsed time: 0.06775689125061035 seconds
viter total elapsed time: 0.23293495178222656 seconds
piteration 6 elapsed time: 0.3484158515930176 seconds
  viteration 1 elapsed time: 0.0324559211730957 seconds
  viteration 2 elapsed time: 0.06818795204162598 seconds
  viteration 3 elapsed time: 0.03210282325744629 seconds
  viteration 4 elapsed time: 0.06977415084838867 seconds
  viteration 5 elapsed time: 0.03173685073852539 seconds
viter total elapsed time: 0.23483586311340332 seconds
piteration 7 elapsed time: 0.3481910228729248 seconds
  viteration 1 elapsed time: 0.06872797012329102 seconds
  viteration 2 elapsed time: 0.03135991096496582 seconds
probably reached convergance 5538.843892736077
viter total elapsed time: 0.12323999404907227 seconds
piteration 8 elapsed time: 0.36359715461730957 seconds
  viteration 1 elapsed time: 0.06814813613891602 seconds
probably reached convergance 5538.843892736077
viter total elapsed time: 0.09253406524658203 seconds
reached convergance 5538.843892736077
elapsed time: 4.57398796081543 seconds
main conditions: 
    jump: 10, alpha: 1, vtol: 1.0e9
    piter: 1:100, viter: 1:6
piteration 1 elapsed time: 0.3487370014190674 seconds
  viteration 1 elapsed time: 0.0315248966217041 seconds
  viteration 2 elapsed time: 0.03259897232055664 seconds
  viteration 3 elapsed time: 0.06723690032958984 seconds
  viteration 4 elapsed time: 0.03227806091308594 seconds
  viteration 5 elapsed time: 0.06843304634094238 seconds
  viteration 6 elapsed time: 0.03194403648376465 seconds
viter total elapsed time: 0.26470208168029785 seconds
piteration 2 elapsed time: 0.3494760990142822 seconds
  viteration 1 elapsed time: 0.06706786155700684 seconds
  viteration 2 elapsed time: 0.03186202049255371 seconds
  viteration 3 elapsed time: 0.06862306594848633 seconds
  viteration 4 elapsed time: 0.03138399124145508 seconds
  viteration 5 elapsed time: 0.03237199783325195 seconds
  viteration 6 elapsed time: 0.06759786605834961 seconds
viter total elapsed time: 0.29965996742248535 seconds
piteration 3 elapsed time: 0.3477790355682373 seconds
  viteration 1 elapsed time: 0.03240799903869629 seconds
  viteration 2 elapsed time: 0.06766605377197266 seconds
  viteration 3 elapsed time: 0.03207707405090332 seconds
  viteration 4 elapsed time: 0.06912589073181152 seconds
  viteration 5 elapsed time: 0.031719207763671875 seconds
  viteration 6 elapsed time: 0.03250718116760254 seconds
viter total elapsed time: 0.2662041187286377 seconds
piteration 4 elapsed time: 0.38597893714904785 seconds
  viteration 1 elapsed time: 0.03147315979003906 seconds
  viteration 2 elapsed time: 0.03229188919067383 seconds
  viteration 3 elapsed time: 0.06682300567626953 seconds
  viteration 4 elapsed time: 0.03224992752075195 seconds
  viteration 5 elapsed time: 0.0680701732635498 seconds
  viteration 6 elapsed time: 0.03179597854614258 seconds
viter total elapsed time: 0.2633650302886963 seconds
piteration 5 elapsed time: 0.3484079837799072 seconds
  viteration 1 elapsed time: 0.0675041675567627 seconds
  viteration 2 elapsed time: 0.03159189224243164 seconds
  viteration 3 elapsed time: 0.06962800025939941 seconds
  viteration 4 elapsed time: 0.03132510185241699 seconds
  viteration 5 elapsed time: 0.03220009803771973 seconds
  viteration 6 elapsed time: 0.06735110282897949 seconds
viter total elapsed time: 0.30034804344177246 seconds
piteration 6 elapsed time: 0.3486628532409668 seconds
  viteration 1 elapsed time: 0.03210806846618652 seconds
  viteration 2 elapsed time: 0.06782197952270508 seconds
  viteration 3 elapsed time: 0.03171086311340332 seconds
probably reached convergance 5538.847393718571
viter total elapsed time: 0.15569615364074707 seconds
piteration 7 elapsed time: 0.3631420135498047 seconds
  viteration 1 elapsed time: 0.06702399253845215 seconds
